template_id,status,agent_selectable,canonical_question_type,primary_capability,fixed_question_template,required_fields,replacement_template_id
T023,CORE_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A3_IMAGE_PLANE_SPATIAL,在标注图的图像平面坐标中，物体 A 是否位于物体 B 的上方？,"['image', 'objects.category', 'objects.bbox_2d', 'objects.mask.area_px']",
T024,CORE_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A3_IMAGE_PLANE_SPATIAL,在标注图的图像平面坐标中，物体 A 是否位于物体 B 的下方？,"['image', 'objects.category', 'objects.bbox_2d', 'objects.mask.area_px']",
T025,STATIC_OPTIONAL_SELECTABLE,True,QT1_SINGLE_CHOICE,A3_IMAGE_PLANE_SPATIAL,在候选标注物体中，哪个物体的中心点最靠近图像中心？,"['image', 'objects.category', 'objects.bbox_2d', 'objects.mask.area_px']",
T026,STATIC_OPTIONAL_SELECTABLE,True,QT1_SINGLE_CHOICE,A3_IMAGE_PLANE_SPATIAL,在候选标注物体中，哪个物体的中心点位于图像最左侧？,"['image', 'objects.category', 'objects.bbox_2d', 'objects.mask.area_px']",
T027,STATIC_OPTIONAL_SELECTABLE,True,QT1_SINGLE_CHOICE,A3_IMAGE_PLANE_SPATIAL,在候选标注物体中，哪个物体的中心点位于图像最右侧？,"['image', 'objects.category', 'objects.bbox_2d', 'objects.mask.area_px']",
T028,STATIC_OPTIONAL_SELECTABLE,True,QT1_SINGLE_CHOICE,A3_IMAGE_PLANE_SPATIAL,在候选标注物体中，哪个物体的中心点位于图像最上方？,"['image', 'objects.category', 'objects.bbox_2d', 'objects.mask.area_px']",
T029,STATIC_OPTIONAL_SELECTABLE,True,QT1_SINGLE_CHOICE,A3_IMAGE_PLANE_SPATIAL,在候选标注物体中，哪个物体的中心点位于图像最下方？,"['image', 'objects.category', 'objects.bbox_2d', 'objects.mask.area_px']",
T030,CORE_SELECTABLE,True,QT1_SINGLE_CHOICE,A3_IMAGE_PLANE_SPATIAL,标注图中的物体 A 位于图像九宫格的哪个区域？,"['image', 'objects.category', 'objects.bbox_2d', 'objects.mask.area_px']",
T031,CORE_SELECTABLE,True,QT1_SINGLE_CHOICE,A3_IMAGE_PLANE_SPATIAL,从候选区域中选择包含标注物体 A 中心点的区域。,"['image', 'objects.category', 'objects.bbox_2d', 'objects.mask.area_px']",
T032,STATIC_OPTIONAL_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A3_IMAGE_PLANE_SPATIAL,在标注图中，物体 A 与物体 B 的可见外接框是否重叠？,"['image', 'objects.category', 'objects.bbox_2d', 'objects.mask.area_px']",
T033,STATIC_OPTIONAL_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A3_IMAGE_PLANE_SPATIAL,在标注图中，物体 A 与物体 B 的可见外接框是否相邻或接近？,"['image', 'objects.category', 'objects.bbox_2d', 'objects.mask.area_px']",
T034,STATIC_OPTIONAL_SELECTABLE,True,QT5_ORDERING,A3_IMAGE_PLANE_SPATIAL,将候选标注物体按图像中从左到右排序。,"['image', 'objects.category', 'objects.bbox_2d', 'objects.mask.area_px']",
T035,STATIC_OPTIONAL_SELECTABLE,True,QT5_ORDERING,A3_IMAGE_PLANE_SPATIAL,将候选标注物体按图像中从上到下排序。,"['image', 'objects.category', 'objects.bbox_2d', 'objects.mask.area_px']",
T036,DEPTH_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A4_DEPTH_DISTANCE_LAYER,观察标注图，物体 A 是否比物体 B 更靠近相机？,"['image', 'objects.bbox_2d', 'objects.depth_median']",
T037,DEPTH_SELECTABLE,True,QT1_SINGLE_CHOICE,A4_DEPTH_DISTANCE_LAYER,在候选标注物体中，哪个物体离相机最近？,"['image', 'objects.bbox_2d', 'objects.depth_median']",
T038,DEPTH_SELECTABLE,True,QT1_SINGLE_CHOICE,A4_DEPTH_DISTANCE_LAYER,在候选标注物体中，哪个物体离相机最远？,"['image', 'objects.bbox_2d', 'objects.depth_median']",
T039,DEPTH_SELECTABLE,True,QT5_ORDERING,A4_DEPTH_DISTANCE_LAYER,将候选标注物体按从近到远排序。,"['image', 'objects.bbox_2d', 'objects.depth_median']",
T040,DEPTH_SELECTABLE,True,QT4_INTERVAL_CHOICE,A4_DEPTH_DISTANCE_LAYER,观察标注图，标注物体 A 到相机的距离属于哪个区间？,"['image', 'objects.bbox_2d', 'objects.depth_median']",
T041,DEPTH_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A4_DEPTH_DISTANCE_LAYER,当前图像中是否存在距离相机小于 `{threshold}` 的 `{object_category}`？,"['image', 'objects.bbox_2d', 'objects.depth_median']",
T042,DEPRECATED_LOCKED,False,DEPRECATED_LOCKED,DEPRECATED,已废弃：多实例类别的“整体更靠近”口径不稳定；用 T036/T037/T040 替代。,['not_selectable'],T036/T037/T040
T043,DEPRECATED_LOCKED,False,DEPRECATED_LOCKED,DEPRECATED,已废弃：“前方”措辞歧义；用 T036 或 T091 的“更靠近相机”替代。,['not_selectable'],T036/T091
T044,DEPTH_SELECTABLE,True,QT1_SINGLE_CHOICE,A4_DEPTH_DISTANCE_LAYER,在候选标注区域中，选择与“距离相机最近的 `{object_category}` 实例”对应的区域。,"['image', 'objects.bbox_2d', 'objects.depth_median']",
T045,CORE_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A8_COMPLEX_CONSTRAINT_CONSISTENCY,当前图像中，距离相机最近的标注物体是否属于 `{object_category}`？,"['image', 'objects.bbox_2d', 'objects.depth_median']",
T046,TEMPORAL_EXTENDED_SELECTABLE,True,QT1_SINGLE_CHOICE,A6_TEMPORAL_TRAJECTORY,在候选帧中，哪一帧中相机/机器人/自车距离指定 `{object_category}` 实例最近？,"['image_sequence', 'frame_index', 'objects.category_by_frame']",
T047,TEMPORAL_EXTENDED_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A6_TEMPORAL_TRAJECTORY,从第 `{i}` 帧到第 `{j}` 帧，机器人/自车是否在接近指定 `{object_category}` 实例？,"['image_sequence', 'frame_index', 'objects.category_by_frame']",
T048,TEMPORAL_EXTENDED_SELECTABLE,True,QT1_SINGLE_CHOICE,A6_TEMPORAL_TRAJECTORY,从第 `{i}` 帧到第 `{j}` 帧，指定 `{object_category}` 与相机的距离变化趋势是什么？,"['image_sequence', 'frame_index', 'objects.category_by_frame']",
T049,TEMPORAL_EXTENDED_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A6_TEMPORAL_TRAJECTORY,判断第 `{i}` 帧中，指定物体 A 是否比指定物体 B 更接近机器人/自车。,"['image_sequence', 'frame_index', 'objects.category_by_frame']",
T050,TEMPORAL_EXTENDED_SELECTABLE,True,QT5_ORDERING,A6_TEMPORAL_TRAJECTORY,将候选帧按机器人/自车到指定目标物体的距离从近到远排序。,"['image_sequence', 'frame_index', 'objects.category_by_frame']",
T051,POSE_3D_EXTENDED_SELECTABLE,True,QT1_SINGLE_CHOICE,A7_EGOCENTRIC_POSE_3D,在第 `{frame_id}` 帧，指定物体 A 位于机器人/自车身体坐标系的哪个相对方位？,"['image_or_sequence', 'objects.centroid_3d_or_pose', 'agent_or_camera_pose_if_egocentric']",
T052,POSE_3D_EXTENDED_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A7_EGOCENTRIC_POSE_3D,在第 `{frame_id}` 帧，指定物体 A 是否位于机器人/自车身体坐标系前方？,"['image_or_sequence', 'objects.centroid_3d_or_pose', 'agent_or_camera_pose_if_egocentric']",
T053,POSE_3D_EXTENDED_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A7_EGOCENTRIC_POSE_3D,在第 `{frame_id}` 帧，指定物体 A 是否位于机器人/自车身体坐标系左侧？,"['image_or_sequence', 'objects.centroid_3d_or_pose', 'agent_or_camera_pose_if_egocentric']",
T054,POSE_3D_EXTENDED_SELECTABLE,True,QT1_SINGLE_CHOICE,A7_EGOCENTRIC_POSE_3D,在候选物体中，哪个物体在机器人/自车身体坐标系中最靠前？,"['image_or_sequence', 'objects.centroid_3d_or_pose', 'agent_or_camera_pose_if_egocentric']",
T055,POSE_3D_EXTENDED_SELECTABLE,True,QT1_SINGLE_CHOICE,A7_EGOCENTRIC_POSE_3D,在候选物体中，哪个物体在机器人/自车身体坐标系中最靠左？,"['image_or_sequence', 'objects.centroid_3d_or_pose', 'agent_or_camera_pose_if_egocentric']",
T056,POSE_3D_EXTENDED_SELECTABLE,True,QT4_INTERVAL_CHOICE,A7_EGOCENTRIC_POSE_3D,在相机坐标系下，标注物体 A 与标注物体 B 的三维质心距离属于哪个区间？,"['image_or_sequence', 'objects.centroid_3d_or_pose', 'agent_or_camera_pose_if_egocentric']",
T057,POSE_3D_EXTENDED_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A7_EGOCENTRIC_POSE_3D,在相机坐标系下，标注物体 A 是否比标注物体 B 更靠近标注物体 C？,"['image_or_sequence', 'objects.centroid_3d_or_pose', 'agent_or_camera_pose_if_egocentric']",
T058,DEPRECATED_LOCKED,False,DEPRECATED_LOCKED,DEPRECATED,已废弃：指定目标点来源容易虚构；用目标物体实例作为参照。,['not_selectable'],T057
T059,POSE_3D_EXTENDED_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A7_EGOCENTRIC_POSE_3D,在三维坐标中，标注物体 A 的垂直位置是否高于标注物体 B？,"['image_or_sequence', 'objects.centroid_3d_or_pose', 'agent_or_camera_pose_if_egocentric']",
T060,POSE_3D_EXTENDED_SELECTABLE,True,QT1_SINGLE_CHOICE,A5_VISIBLE_SCALE_3D_SIZE,在候选标注物体中，哪个物体的可见三维包围盒体积最大？,"['image_or_sequence', 'objects.centroid_3d_or_pose', 'agent_or_camera_pose_if_egocentric']",
T061,DEPRECATED_LOCKED,False,DEPRECATED_LOCKED,DEPRECATED,已废弃：3D bbox y 方向尺寸不是自然评测语义；用 T060/T063 替代。,['not_selectable'],T060/T063
T062,POSE_3D_EXTENDED_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A5_VISIBLE_SCALE_3D_SIZE,标注物体 A 的可见三维包围盒体积是否大于标注物体 B？,"['image_or_sequence', 'objects.centroid_3d_or_pose', 'agent_or_camera_pose_if_egocentric']",
T063,POSE_3D_EXTENDED_SELECTABLE,True,QT5_ORDERING,A5_VISIBLE_SCALE_3D_SIZE,将候选标注物体按可见三维包围盒体积从大到小排序。,"['image_or_sequence', 'objects.centroid_3d_or_pose', 'agent_or_camera_pose_if_egocentric']",
T064,DEPRECATED_LOCKED,False,DEPRECATED_LOCKED,DEPRECATED,已废弃：世界坐标左侧不适合普通图文评测；用图像平面左右或身体坐标左右模板替代。,['not_selectable'],T021/T022/T053
T065,POSE_3D_EXTENDED_SELECTABLE,True,QT6_STRUCTURED_MATCH,A7_EGOCENTRIC_POSE_3D,选择标注物体 A 相对机器人/自车的方位类别，并选择其距离区间。,"['image_or_sequence', 'objects.centroid_3d_or_pose', 'agent_or_camera_pose_if_egocentric']",
T066,TEMPORAL_EXTENDED_SELECTABLE,True,QT1_SINGLE_CHOICE,A6_TEMPORAL_TRAJECTORY,机器人/自车从第一帧到最后一帧整体向哪个坐标方向移动？,"['image_sequence', 'frame_index', 'objects.category_by_frame']",
T067,TEMPORAL_EXTENDED_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A6_TEMPORAL_TRAJECTORY,机器人/自车在序列中是否发生超过阈值的位移？,"['image_sequence', 'frame_index', 'objects.category_by_frame']",
T068,TEMPORAL_EXTENDED_SELECTABLE,True,QT1_SINGLE_CHOICE,A6_TEMPORAL_TRAJECTORY,在候选相邻帧段中，哪一段机器人/自车位移最大？,"['image_sequence', 'frame_index', 'objects.category_by_frame']",
T069,DEPRECATED_LOCKED,False,DEPRECATED_LOCKED,DEPRECATED,已废弃：按帧序号排序容易泄漏时间元数据，不能作为视觉评测模板。,['not_selectable'],T075/T076/T080
T070,TEMPORAL_EXTENDED_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A6_TEMPORAL_TRAJECTORY,在序列中，`{category_A}` 首次可见是否早于 `{category_B}`？,"['image_sequence', 'frame_index', 'objects.category_by_frame']",
T071,TEMPORAL_EXTENDED_SELECTABLE,True,QT1_SINGLE_CHOICE,A6_TEMPORAL_TRAJECTORY,在候选物体类别中，哪个类别在序列中最早首次可见？,"['image_sequence', 'frame_index', 'objects.category_by_frame']",
T072,TEMPORAL_EXTENDED_SELECTABLE,True,QT1_SINGLE_CHOICE,A6_TEMPORAL_TRAJECTORY,在候选物体类别中，哪个类别在序列中最晚首次可见？,"['image_sequence', 'frame_index', 'objects.category_by_frame']",
T073,TEMPORAL_EXTENDED_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A6_TEMPORAL_TRAJECTORY,`{object_category}` 是否在整个序列的每一帧中都可见？,"['image_sequence', 'frame_index', 'objects.category_by_frame']",
T074,TEMPORAL_EXTENDED_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A6_TEMPORAL_TRAJECTORY,`{object_category}` 是否在序列中出现过由可见到不可见的变化？,"['image_sequence', 'frame_index', 'objects.category_by_frame']",
T075,TEMPORAL_EXTENDED_SELECTABLE,True,QT1_SINGLE_CHOICE,A6_TEMPORAL_TRAJECTORY,选择 `{object_category}` 首次可见的图像。,"['image_sequence', 'frame_index', 'objects.category_by_frame']",
T076,TEMPORAL_EXTENDED_SELECTABLE,True,QT1_SINGLE_CHOICE,A6_TEMPORAL_TRAJECTORY,选择 `{object_category}` 最后一次可见的图像。,"['image_sequence', 'frame_index', 'objects.category_by_frame']",
T077,TEMPORAL_EXTENDED_SELECTABLE,True,QT1_SINGLE_CHOICE,A6_TEMPORAL_TRAJECTORY,从第 `{i}` 帧到第 `{j}` 帧，目标物体与机器人/自车的距离是变近、变远还是基本不变？,"['image_sequence', 'frame_index', 'objects.category_by_frame']",
T078,TEMPORAL_EXTENDED_SELECTABLE,True,QT1_SINGLE_CHOICE,A6_TEMPORAL_TRAJECTORY,在候选物体中，哪个物体在序列中与机器人/自车的距离变化最大？,"['image_sequence', 'frame_index', 'objects.category_by_frame']",
T079,TEMPORAL_EXTENDED_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A6_TEMPORAL_TRAJECTORY,判断描述“机器人/自车先接近物体 A，再接近物体 B”是否成立。,"['image_sequence', 'frame_index', 'objects.category_by_frame']",
T080,TEMPORAL_EXTENDED_SELECTABLE,True,QT1_SINGLE_CHOICE,A6_TEMPORAL_TRAJECTORY,选择与机器人/自车运动轨迹最匹配的文字描述。,"['image_sequence', 'frame_index', 'objects.category_by_frame']",
T081,DEPRECATED_LOCKED,False,DEPRECATED_LOCKED,DEPRECATED,已废弃：不可答/能否判断类三选题，不进入模板库。,['not_selectable'],T001
T082,DEPRECATED_LOCKED,False,DEPRECATED_LOCKED,DEPRECATED,已废弃：无法由图像支持类模板会引入不可答判断；用 T085 证据冲突单选替代。,['not_selectable'],T085
T083,DEPRECATED_LOCKED,False,DEPRECATED_LOCKED,DEPRECATED,已废弃：能否仅凭图像判断类三选题，不进入模板库。,['not_selectable'],T036/T040
T084,DEPRECATED_LOCKED,False,DEPRECATED_LOCKED,DEPRECATED,已废弃：元问题，不作为图文 benchmark 题干；用 T001 负例替代。,['not_selectable'],T001
T085,CORE_SELECTABLE,True,QT1_SINGLE_CHOICE,A1_VISIBLE_OBJECT_CATEGORY,下列哪一项与当前图像中的可见物体类别或空间证据冲突？,"['image', 'objects.category']",
T086,TEMPORAL_EXTENDED_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A6_TEMPORAL_TRAJECTORY,在多帧序列中，`{object_category}` 是否从不可见变为可见？,"['image_sequence', 'frame_index', 'objects.category_by_frame']",
T087,TEMPORAL_EXTENDED_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A6_TEMPORAL_TRAJECTORY,在多帧序列中，`{object_category}` 是否从可见变为不可见？,"['image_sequence', 'frame_index', 'objects.category_by_frame']",
T088,TEMPORAL_EXTENDED_SELECTABLE,True,QT1_SINGLE_CHOICE,A6_TEMPORAL_TRAJECTORY,选择 `{object_category}` 从不可见变为可见的第一帧。,"['image_sequence', 'frame_index', 'objects.category_by_frame']",
T089,TEMPORAL_EXTENDED_SELECTABLE,True,QT1_SINGLE_CHOICE,A6_TEMPORAL_TRAJECTORY,选择 `{object_category}` 从可见变为不可见之前的最后一帧。,"['image_sequence', 'frame_index', 'objects.category_by_frame']",
T090,DEPRECATED_LOCKED,False,DEPRECATED_LOCKED,DEPRECATED,已废弃：不可见目标距离是否可回答是不可答三选题，不进入模板库。,['not_selectable'],T001/T040
T091,DEPTH_SELECTABLE,True,QT3_BINARY_OR_COMPARISON,A4_DEPTH_DISTANCE_LAYER,观察标注图，物体 A 是否比物体 B 更靠近相机？,"['image', 'objects.bbox_2d', 'objects.depth_median']",
T092,DEPTH_SELECTABLE,True,QT1_SINGLE_CHOICE,A4_DEPTH_DISTANCE_LAYER,当两个候选物体的可见区域邻近或重叠时，哪个物体更靠近相机？,"['image', 'objects.bbox_2d', 'objects.depth_median']",
T093,DEPRECATED_LOCKED,False,DEPRECATED_LOCKED,DEPRECATED,已废弃：“可能遮挡”是弱因果推断，自动评测不稳定。,['not_selectable'],T092/T094
T094,DEPTH_SELECTABLE,True,QT1_SINGLE_CHOICE,A4_DEPTH_DISTANCE_LAYER,在候选标注区域中，选择最靠近相机的前景物体。,"['image', 'objects.bbox_2d', 'objects.depth_median']",
T095,DEPTH_SELECTABLE,True,QT5_ORDERING,A4_DEPTH_DISTANCE_LAYER,将候选标注物体按深度层次由近到远排序。,"['image', 'objects.bbox_2d', 'objects.depth_median']",
T096,DEPTH_SELECTABLE,True,QT1_SINGLE_CHOICE,A4_DEPTH_DISTANCE_LAYER,在候选标注物体中，选择“位于图像左半区且距离相机最近的 `{object_category}` 实例”。,"['image', 'objects.bbox_2d', 'objects.depth_median']",
T097,DEPTH_SELECTABLE,True,QT1_SINGLE_CHOICE,A4_DEPTH_DISTANCE_LAYER,在候选标注物体中，选择“位于图像右半区且可见面积最大的物体”。,"['image', 'objects.category', 'objects.bbox_2d', 'objects.mask.area_px']",
T098,POSE_3D_EXTENDED_SELECTABLE,True,QT1_SINGLE_CHOICE,A7_EGOCENTRIC_POSE_3D,在候选物体中，选择“位于机器人/自车身体坐标系前方且距离最近”的物体。,"['image_or_sequence', 'objects.centroid_3d_or_pose', 'agent_or_camera_pose_if_egocentric']",
T099,DEPRECATED_LOCKED,False,DEPRECATED_LOCKED,DEPRECATED,已废弃：多属性 JSON 匹配容易一物多属性和隐藏评分噪声；拆成 T021/T022/T036/T095。,['not_selectable'],T021/T022/T036/T095
T100,DEPRECATED_LOCKED,False,DEPRECATED_LOCKED,DEPRECATED,已废弃：输出 object_id/depth_median 属于隐藏元数据，不作为图文评测。,['not_selectable'],T096/T097
